id,title,score_badge,score_text,score_subtext,thumbnail,site,full_address,full_description,room
11,悅庭渡假花園民宿,8.8,很棒,271 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/74708969.jpg?k=1b9f83858cfb407ec44398510a301a8719cbdd5c060769512d44b951614ffaa9,https://www.booking.com/hotel/tw/yue-ting-du-jia-hua-yuan-min-su.zh-tw.html,花蓮縣志學村路內136號,"Yue Ting Homestay 位在花蓮縣的志學村，附設免費私人停車位。
每個房型都設有私人衛浴和淋浴設施、空調、平面電視以及冰箱。
Yue Ting Homestay 有陽光露台。
這間住宿的住客可在附近騎自行車，或使用花園。
Yue Ting Homestay 距離花蓮市 13 公里。最近的機場是花蓮機場，距離 Yue Ting Homestay 16 公里。",加大雙人床房、標準四人房、加大雙人床房－附 2 張加大雙人床、豪華四人房、家庭套房、家庭套房、山景雙人／雙床房、四人房、加大雙人床房
12,大觀園民宿,8.7,很棒,16 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/256851958.jpg?k=abdf6e271eb5a3cfb4a63e820c0ad23b823e1c8d41a086bf1a5192460b769678,https://www.booking.com/hotel/tw/da-guan-yuan-du-jia-min-su.zh-tw.html,"花蓮縣Chu-ch'üan-liNo. 5, Yongsheng St.,","大觀園民宿位在花蓮縣的 T'ien-pu，附設免費私人停車位。
所有房型設有陽台、空調、平面電視以及附拖鞋的私人衛浴。
大觀園民宿有露台。
這間住宿距離花蓮市 2.8 公里。最近的機場是花蓮機場，距離大觀園民宿 6 公里。",豪華雙人房、四人房
13,簡單生活景觀民宿,8.5,非常好,127 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/253506087.jpg?k=665478b16d885bdff0f2ff72f09418bbbd7f2e55be60f2bc3fcce897bfb39f47,https://www.booking.com/hotel/tw/jian-dan-sheng-huo-min-su.zh-tw.html,花蓮縣佳林村新城鄉佳林村5鄰佳林112之9號,"預訂簡單生活景觀民宿可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
Simple Life B&B 距離 Qixingtan Beach 2.8 公里，有免費自行車租借服務和花園，為了旅客的方便還提供客房服務。 Simple Life B&B 提供 WiFi 和免費私人停車位。
所有房型均有空調和平面電視。
這間住宿有露台。
Simple Life B&B 提供租車服務。
最近的機場是花蓮機場，距離 Simple Life B&B 2 公里。",標準四人房、雙床房－附露台、標準三人房、高級四人房－附陽台、四人房－附浴缸、豪華四人房－附浴缸
14,葛莉絲莊園,9.3,好極了,398 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/195583927.jpg?k=419a8933f3b489347cf7147509f6fa77f9c8b85fa6521e8d6f4595254545c7ab,https://www.booking.com/hotel/tw/ge-li-si-zhuang-yuan.zh-tw.html,花蓮縣豐山村魚塘路43號,"預訂葛莉絲莊園可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
Grace Garden Villa 位在豐山村，設有花園，提供 WiFi（免費），距離花蓮市 20 公里。住宿提供空調，設有桑拿。
這間住宿的所有房型均享有湖景，有衛星頻道平面電視、 DVD 播放機、洗衣機以及附沖洗座的私人衛浴。每個房型都設有享園景的戶外休息區。
Grace Garden Villa 每天提供歐陸式和自助式早餐兩種選擇。
這間住宿提供洗衣服務，還設有傳真和影印等商務設備。
Grace Garden Villa 的住客可在附近騎自行車，或使用陽光露台。
最近的機場是花蓮機場，距離 Grace Garden Villa 22 公里。",湖景特大雙人床房、湖景四人房
15,錦水山海莊民宿,9.5,傑出,90 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/221640220.jpg?k=f02103c7d6b59d3ff2267149c3b5ec6f6c665fc9eaf0305214b03a54edf5d351,https://www.booking.com/hotel/tw/min-su-jin-shui-shan-hai-zhuang.zh-tw.html,花蓮縣Shuilian壽豐鄉水璉村牛山73-6號,"預訂錦水山海莊民宿可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
Kin Shui Villa 位於 Shuilian，提供享海景的住宿，設有 WiFi（免費）和免費私人停車位，距離 Huanfu Beach 1.7 公里。
所有房型都有戶外休息區、空調、平面電視，以及私人衛浴，並提供淋浴設施和吹風機。住宿提供冰箱和電熱水壺。
Kin Shui Villa 每天早上供應美式早餐。
這間住宿提供露台供住客使用。
最近的機場是花蓮機場，距離 Kin Shui Villa 31 公里。",海景雙人房、海景四人房
16,花蓮翔廬渡假民宿,7.7,好,65 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/85706138.jpg?k=2d0062759055971a7701a9148a38c9fd8f9466ed8de2b6b0d673d6add0cb97fa,https://www.booking.com/hotel/tw/hua-lian-xiang-lu-du-jia-min-su.zh-tw.html,花蓮縣佳民村佳民村95-3號,"Sun Lu Holiday Homestay 位在佳民村，提供 WiFi（免費）。住客可以使用餐廳、共用休息室和花園。館內提供私人停車位。
所有房型均有座位區、有線頻道電視，私人衛浴有淋浴設施，且附拖鞋。住宿提供冰箱和電熱水壺。
Sun Lu Holiday Homestay 距離 Qixingtan Beach 2.5 公里。最近的機場是花蓮機場，距離這間住宿 4 公里。",標準雙人房、四人房－附私人衛浴、家庭房－附衛浴、三人房－附衛浴、家庭房－附衛浴
17,太魯閣立霧左邨景觀民宿,9.2,好極了,349 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/319941957.jpg?k=6393a777b6cf2f6628909dc8a54b37150c190e5e426c78c0c2eea73338cc9dd8,https://www.booking.com/hotel/tw/li-wu-zuo-cun-jing-guan-min-su.zh-tw.html,花蓮縣崇德村崇德村3鄰198-15號,"預訂太魯閣立霧左邨景觀民宿可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
太魯閣立霧左邨民宿位於花蓮，俯瞰太平洋和太魯閣峽谷，提供免費 WiFi 及 1 座大型花園。
客房均設有空調、平面電視、沙發和私人衛浴，部分客房享有山景和花園景觀。
太魯閣立霧左邨民宿設有旅遊諮詢台，可協助安排旅行事宜，提供免費自行車可供住客自行遊覽周邊地區，並提供免費接駁車往返新城火車站。",四人房－附浴缸、家庭房－附衛浴、四人房－附衛浴、雙人房－附私人衛浴、特大雙人床房
18,湖畔46民宿,8.9,很棒,202 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/270174912.jpg?k=b48c96a7f006d8abeffe662bfa08346ce59f72aeaafddbc4a06868c346542313,https://www.booking.com/hotel/tw/hu-pan-46min-su.zh-tw.html,花蓮縣池南村池南路一段46號,"預訂湖畔46民宿可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
湖畔 46 民宿位於花蓮壽豐鄉，距離鯉魚潭僅有 3 分鐘步行路程。提供全區免費 WiFi。
民宿至慕谷慕魚需要 7 分鐘車程。距離花​​蓮火車站約有 20 分鐘車程。
客房設有空調、配有平面電視、冰箱和沖泡茶／咖啡設施。部分客房享有湖景，其他客房則享有山景。私人衛浴備有吹風機和免費盥洗用品。
民宿設有花園和共用休息室。客人可免費使用自行車四處遊覽。民宿提供免費停車場。",山景雙人房、湖景四人房、山景三人房、湖景蜜月套房、山景四人房
19,阿德南斯行館,9.4,好極了,148 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/195551821.jpg?k=39f14008afedfe4cc814744beb2ba73f219653b0c21aeffbd9fa5c2c169d233a,https://www.booking.com/hotel/tw/a-de-nan-si-xing-guan.zh-tw.html,花蓮縣豐山村豐山村魚塘路40號,"預訂阿德南斯行館可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
Ardennes Villa 位在豐山村，設有花園，提供 WiFi（免費），距離花蓮市 20 公里。住宿提供空調，設有桑拿。
每個房型都有洗衣機、衛星頻道平面電視、沙發、書桌和壁爐。每個房型都提供附沖洗座、浴袍、拖鞋和吹風機的私人衛浴。
Ardennes Villa 的住客可以享用歐陸式早餐。
這間住宿有露台。 Ardennes Villa 提供洗衣服務，還設有傳真和影印等商務設備。
如果住客想探索該地區，可以在附近地區健行和騎自行車。 Ardennes Villa 可以安排租車服務。
最近的機場是花蓮機場，距離這間住宿 22 公里。住宿提供付費機場接駁服務。",湖景特大雙人床房、湖景豪華雙人／雙床房
20,汎水淩山花園民宿,8.5,非常好,114 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/40061376.jpg?k=4034e44f749da43bf6cd0770bca71e53a0ca7edeea075696cdb06487733822b5,https://www.booking.com/hotel/tw/fanlinhouse.zh-tw.html,花蓮縣佳林村佳林村2-1號,"預訂汎水淩山花園民宿可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
汎水凌山花園民宿位於花蓮，是一座古色古香的酒店，提供令人身心放鬆的休閒勝地。民宿坐落於園景花園內，擁有美觀的木料裝飾元素。客房均十分寬敞，設有浴缸。整個民宿均設有WiFi。
客房均設有典雅的壁紙、優質寢具和舒適的客廳。浴室均裝飾以馬賽克瓷磚，設有浴缸和免費洗浴用品。民宿還提供複式客房。部分客房享有花園美景。
花蓮汎水凌山花園民宿距離花蓮火車站有10分鐘車程，距離花蓮機場有6分鐘車程，距離七星潭和海灘均有14分鐘車程，距離太魯閣大峽谷有25分鐘車程。
民宿擁有輕鬆的氛圍，供應早餐套餐和下午茶。民宿周圍較短的車程範圍內設有眾多當地餐廳；一間便利店距離民宿僅有5分鐘車程。",高級雙人房、豪華雙人房、單臥室公寓（可住 5 位成人）、豪華雙人房－附浴缸、標準四人房、舒適雙床房、豪華特大雙人床房、標準雙人房、園景豪華雙人房、園景四人房、湖景四人房、四人房－附陽台
21,玉山緣,7.7,好,231 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/119872845.jpg?k=6f31daf2edcc68c05ce08c32a9e6f5ed8c8839394cd79629b22b4243858d1888,https://www.booking.com/hotel/tw/yu-shan-yuan.zh-tw.html,花蓮縣卓溪鄉清水100之2號,"玉山緣位於花蓮縣卓溪鄉，享有山景，設有餐廳、公共休息區、點心吧、花園和露台。民宿提供免費 WiFi，並附設私人免費停車場。
周邊地區適合登山健行及騎自行車遊覽。
最近的機場是台東機場，距離玉山緣 63 公里。",度假屋、度假屋、度假屋
22,花蓮芒果旅店,7.5,好,683 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/321611997.jpg?k=0307c8e10760974b6e24a56f1c4f39da14dd4ce47d6a0b3dcc236a251753c6d2,https://www.booking.com/hotel/tw/mango-hotel-hualien.zh-tw.html,花蓮縣花蓮市Hualien City光復街45號,"預訂花蓮芒果旅店可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
花蓮芒果旅店距離花蓮客運站僅 5 分鐘步行路程，館內客房裝潢典雅。從旅店前往市區各景點皆十分便利，館內亦設有電腦區、全館免費 WiFi 及觀光旅遊櫃檯。
旅店距離南濱夜市 7 分鐘車程，距離花蓮縣石雕博物館和自強夜市皆為 10 分鐘車程。距離七星潭 20 分鐘車程，距離花蓮遠雄海洋公園 30 分鐘車程。
客房均配有空調、平面電視、迷你吧、舒適的休息區及私人衛浴。部分客房可接待 6 位成人入住。
旅店附近亦有許多餐廳和在地小吃攤可供客人選擇。旅店距離 2 處熱門夜市不到 10 分鐘車程。",芒果雙人間、芒果三人間、芒果家庭間、標準雙床房、高級雙人房、舒適三人房、舒適四人房
23,太魯閣阿魯娃海灣民宿,8.8,很棒,494 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/47744246.jpg?k=522ce34a8bba1ad45d15feae6893cf161e19ae58798d6f1e2645417918644d23,https://www.booking.com/hotel/tw/ae-lu-wa-art-accommodation.zh-tw.html,花蓮縣順安村北三棧122號,"預訂太魯閣阿魯娃海灣民宿可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
太魯閣阿魯娃海灣民宿位於新城鄉，距離太魯閣國家公園約 10 分鐘車程。民宿提供往返新城火車站的免費接駁車，距離約 6 分鐘車程。館內公共區域提供免費 WiFi。民宿主人將在客人抵達時送上迎賓飲品和手工禮物。
太魯閣阿魯娃海灣民宿距離金山谷約 5 分鐘車程，距離七星潭風景區約 15 分鐘車程，距離花​​蓮火車站約 25 分鐘計程車車程，距離花​​蓮市中心則約 30 分鐘車程。
所有客房均設有落地窗，房內配有空調、平面有線電視、衣櫃、冰箱和電熱水壺。部分客房享有山景和海景。私人衛浴內備有吹風機、拖鞋及免費盥洗用品。
客人可參與各種活動，例如遠足、釣魚和騎自行車。館內備有免費自行車。民宿亦設有陽光露台和共用休息室，並附設免費私人停車場。",海景家庭房、園景家庭房、四人間- 可攜帶寵物入住、豪華雙人間- 帶花園或山脈景緻、海景雙人房、海景四人房、標準雙人房、標準四人房、四人房－附浴缸
24,伊莉莎白小屋民宿,9.5,傑出,114 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/95323381.jpg?k=5f5f4cc5747552912c48510fe488aaf7620f40625e6b9ec72a1c0615b689f172,https://www.booking.com/hotel/tw/elizabeth-bed-and-breakfast.zh-tw.html,花蓮縣豐裡村豐正路一段27號,"伊莉莎白小屋民宿位於花蓮，民宿提供免費 WiFi 及免費私人停車場。另設有花園和共用休息室，客人也可於館內餐廳享用餐點。
民宿每間客房均設有空調和電視，部分客房為提供住客便利的住宿體驗，設有休息區。客房另配有電熱水壺和冰箱，亦配有附淋浴設施的私人衛浴，也提供拖鞋、免費盥洗用品和吹風機。
觀光旅遊櫃檯可提供旅遊資訊。住宿可提供租車服務及行李寄存服務。
民宿距離國立東華大學有 10 分鐘車程，距離遠雄海洋公園則有 22 分鐘車程。",山景特大雙人床房、園景特大雙人床房、標準雙人房、標準雙人房、園景四人房、山景四人房、園景四人房、露營車
25,江水田園民宿,9,好極了,83 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/138183148.jpg?k=4d1f14509ca3262631d484ac8e40eaa3f1781c57cb0aef57647f52956bd92e52,https://www.booking.com/hotel/tw/jiang-shan-tian-yuan-min-su.zh-tw.html,花蓮縣鳳林鎮自強路36號,"預訂江水田園民宿可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
江水田園民宿位於寧靜的鳳林鎮，距離花蓮市 30 公里。客人可在附設餐廳享用餐點。館內設有免費 WiF 和免費停車場。
江水田園民宿距離鳳林火車站 7 分鐘車程。
距離熱門的新光兆豐休閒農場 8 分鐘車程。距離花蓮火車站 50 分鐘車程。距離鯉魚潭和遠雄海洋公園皆為 40 分鐘車程。
每間客房均配有空調和平面電視。部分客房享有山景或園景。客房內亦設有私人衛浴。為提供舒適的入住體驗，亦備有拖鞋、免費盥洗用品和吹風機。
民宿提供票券和行李寄存服務。民宿的觀光旅遊櫃檯可為客人預定短途旅程。民宿亦提供自行車和汽車租賃服務。",山景雙人房、山景四人房、山景三人房
26,洄瀾客棧【海景飯店】,8.3,非常好,"1,110 則評語",https://cf.bstatic.com/xdata/images/hotel/square600/274004289.jpg?k=cf067d79bfc473356a2b804b6b07bbc7d282f44a90303a1ffbd170acba314cb1,https://www.booking.com/hotel/tw/hui-lan-ke-zhan-gu-fen-you-xian-gong-si.zh-tw.html,花蓮縣花蓮市Hualien City海岸路11號,"預訂洄瀾客棧【海景飯店】可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
洄瀾客棧位於花蓮市，距離松園別館僅 5 分鐘車程，距離彩虹夜市 8 分鐘車程，提供可免費使用的自行車和免費 WiFi。
飯店距離花蓮火車站 11 分鐘車程，距離遠雄海洋公園 23 分鐘車程。
每間客房均配有空調和冰箱。私人衛浴內備有吹風機、免費盥洗用品和拖鞋。此外也提供床單和清潔用品。
洄瀾客棧提供機場接駁和免費接駁服務，設有 24 小時接待櫃台、觀光旅遊櫃檯和行李寄存處，商務中心亦可協助安排會議或宴會活動。客人可於館內或周邊地區進行騎自行車等多種活動。飯店提供免費停車場。
為方便起見，建議客人可以在館內餐廳享用簡便餐點，再前往彩虹夜市品嚐風味獨特的著名在地小吃。",海景雙人房、四人間帶側海景、標準雙人房、海景四人房、晨曦豪華雙床客房、標準雙床房
27,花蓮市布洛灣大飯店,7.9,好,"5,777 則評語",https://cf.bstatic.com/xdata/images/hotel/square600/73906631.jpg?k=faa50d44f656f6b1ab6e1d4b7dd3880202c284a0876bfcfb696926b6d7674636,https://www.booking.com/hotel/tw/hua-lian-shi-bu-luo-wan-da-fan-dian.zh-tw.html,花蓮縣花蓮市Hualien City中福路189號,"預訂花蓮市布洛灣大飯店可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
花蓮市布洛灣大飯店位於花蓮市，提供免費 WiFi 和簡約客房，距離著名的東大門夜市僅有 6 分鐘車程。
花蓮市布洛灣大飯店距離松園別館 1.8 公里，距離花蓮火車站 3 公里。最近的機場是花蓮機場，距離 8 公里。
每間客房均設有空調、平面有線電視、冰箱和電熱水壺。私人浴室則配有浴缸或淋浴設施，並提供免費盥洗用品和吹風機。
飯店櫃台 24 小時開放，提供行李寄存服務和旅遊資訊。",標準雙人房、三人房、家庭房、標準雙床房、雙床房－無窗且無停車位、單人房－無窗 & 無停車位、特別三人間、四人房－無窗、閣樓套房－需經由樓梯抵達、四人房、家庭房－無窗、雙人房－無窗 & 無停車位、三人房、四人房、休息雙人房（4 小時）
28,吾居吾宿民宿,8,非常好,116 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/91315364.jpg?k=3b110063fab974c466825a70621fde6ef3ae9e6425f97bce7d763e2b97d0a14a,https://www.booking.com/hotel/tw/hua-lian-wu-ju-wu-su-min-su.zh-tw.html,花蓮縣志學村中山路３段14號,"Twins Homestay 位在志學村，設有共用休息室，提供 WiFi（免費），距離花蓮市 12 公里。館內提供私人停車位。
Twins Homestay 設有座位區以及附淋浴設施的私人衛浴，且提供拖鞋、吹風機和平面電視。
這間住宿的住客可以享用亞洲風味早餐。
Twins Homestay 提供兒童遊樂區和花園。
最近的機場是花蓮機場，距離 Twins Homestay 16 公里。",標準雙床房、四人房、家庭套房、家庭房－附衛浴、日式四人房、舒適四人房
29,910 Hostel (Chengdong),9.1,好極了,724 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/249570235.jpg?k=ba115d080d18f52b2c858404ab4fcdf61964318db0d2bc5e410ffe49696af0bb,https://www.booking.com/hotel/tw/910-hostel-cheng-dong-guan.zh-tw.html,"花蓮縣玉里鎮No. 42, Chengdong 4th Street,","預訂910 Hostel (Chengdong)可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
910 Hostel (Chengdong) 位在玉里鎮，設有花園和露台。這間住宿提供的設施與服務包括餐廳、24 小時接待櫃檯、共用廚房以及全館 WiFi（免費）。住宿有客房服務、共用休息室和旅遊行程安排服務。
客房均有寢具。
最近的機場是台東機場，距離 910 Hostel (Chengdong) 67 公里。",雙人房－附陽台、四人房－附陽台、4 床女性宿舍房的 1 個床位、6 床女性宿舍房的 1 個床位、6 床宿舍房的 1 個床位、4 床男性宿舍房的 1 個床位、雙人房－附露台、豪華雙人房－附陽台
